"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2019Q4","17800","384747","1.2","1171","2.1","Goods-Producing","01","AL"
Alaska,"2019Q4","3670","36238","3.2","1799","0.8","Goods-Producing","02","AK"
Arizona,"2019Q4","20506","401810","4.2","1332","5.4","Goods-Producing","04","AZ"
Arkansas,"2019Q4","12707","231450","0.4","1011","3.7","Goods-Producing","05","AR"
California,"2019Q4","149560","2583738","0.4","1674","4.4","Goods-Producing","06","CA"
Colorado,"2019Q4","29803","375748","1.8","1431","2.1","Goods-Producing","08","CO"
Connecticut,"2019Q4","14369","224099","-1.0","1631","4.6","Goods-Producing","09","CT"
Delaware,"2019Q4","3893","51293","-1.0","1304","2.4","Goods-Producing","10","DE"
District Of Columbia,"2019Q4","1301","15843","-5.9","1568","3.4","Goods-Producing","11","DC"
Florida,"2019Q4","101882","1036274","2.5","1147","4.0","Goods-Producing","12","FL"
Georgia,"2019Q4","35094","640353","0.2","1207","2.1","Goods-Producing","13","GA"
Hawaii,"2019Q4","5531","57450","1.4","1351","1.3","Goods-Producing","15","HI"
Idaho,"2019Q4","13867","143323","3.0","1189","-1.1","Goods-Producing","16","ID"
Illinois,"2019Q4","53656","829794","-1.0","1456","2.3","Goods-Producing","17","IL"
Indiana,"2019Q4","26619","706685","-0.2","1233","2.6","Goods-Producing","18","IN"
Iowa,"2019Q4","16526","326005","0.6","1220","-1.7","Goods-Producing","19","IA"
Kansas,"2019Q4","13249","250700","0.8","1183","3.2","Goods-Producing","20","KS"
Kentucky,"2019Q4","15601","351886","0.3","1212","4.1","Goods-Producing","21","KY"
Louisiana,"2019Q4","18796","318100","-3.8","1465","2.7","Goods-Producing","22","LA"
Maine,"2019Q4","8860","90832","2.3","1093","4.6","Goods-Producing","23","ME"
Maryland,"2019Q4","21609","286993","2.1","1456","2.9","Goods-Producing","24","MD"
Massachusetts,"2019Q4","29078","416769","0.2","1707","1.9","Goods-Producing","25","MA"
Michigan,"2019Q4","42330","825291","-0.6","1380","4.9","Goods-Producing","26","MI"
Minnesota,"2019Q4","28516","469497","0.4","1360","3.3","Goods-Producing","27","MN"
Mississippi,"2019Q4","10410","208430","1.2","1015","3.0","Goods-Producing","28","MS"
Missouri,"2019Q4","24219","423031","1.9","1207","4.6","Goods-Producing","29","MO"
Montana,"2019Q4","10188","63079","0.1","1179","1.1","Goods-Producing","30","MT"
Nebraska,"2019Q4","11423","170120","1.6","1091","4.3","Goods-Producing","31","NE"
Nevada,"2019Q4","8638","176840","3.4","1336","4.9","Goods-Producing","32","NV"
New Hampshire,"2019Q4","7176","101852","0.7","1458","3.1","Goods-Producing","33","NH"
New Jersey,"2019Q4","32675","420171","1.1","1562","2.6","Goods-Producing","34","NJ"
New Mexico,"2019Q4","9720","115370","4.0","1182","4.8","Goods-Producing","35","NM"
New York,"2019Q4","69670","861519","-1.3","1467","3.0","Goods-Producing","36","NY"
North Carolina,"2019Q4","42243","739014","0.8","1173","2.9","Goods-Producing","37","NC"
North Dakota,"2019Q4","6330","78221","0.3","1471","2.1","Goods-Producing","38","ND"
Ohio,"2019Q4","41565","948290","-0.4","1273","2.2","Goods-Producing","39","OH"
Oklahoma,"2019Q4","18567","272307","-5.0","1264","-0.2","Goods-Producing","40","OK"
Oregon,"2019Q4","26077","350681","1.6","1276","3.0","Goods-Producing","41","OR"
Pennsylvania,"2019Q4","47356","876992","-0.4","1312","2.5","Goods-Producing","42","PA"
Rhode Island,"2019Q4","5675","60687","-0.1","1232","3.9","Goods-Producing","44","RI"
South Carolina,"2019Q4","20827","377721","1.7","1169","2.7","Goods-Producing","45","SC"
South Dakota,"2019Q4","6070","74801","0.6","1027","3.9","Goods-Producing","46","SD"
Tennessee,"2019Q4","21174","499218","1.4","1227","1.8","Goods-Producing","47","TN"
Texas,"2019Q4","99126","1986540","1.1","1585","3.8","Goods-Producing","48","TX"
Utah,"2019Q4","18277","263986","3.7","1167","4.3","Goods-Producing","49","UT"
Vermont,"2019Q4","4560","49562","0.8","1125","2.6","Goods-Producing","50","VT"
Virginia,"2019Q4","30373","463062","0.9","1230","2.2","Goods-Producing","51","VA"
Washington,"2019Q4","41580","578071","1.1","1352","3.4","Goods-Producing","53","WA"
West Virginia,"2019Q4","6744","99138","-11.0","1280","-9.3","Goods-Producing","54","WV"
Wisconsin,"2019Q4","27278","632317","0.4","1205","2.1","Goods-Producing","55","WI"
Wyoming,"2019Q4","5549","55072","0.1","1452","3.8","Goods-Producing","56","WY"
Puerto Rico,"2019Q4","5855","115937","2.3","671","-1.2","Goods-Producing","72","PR"
Virgin Islands,"2019Q4","396","6036","69.2","1914","29.6","Goods-Producing","78","VI"
 
